;file;cue;rt;run;group;ID
168;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;228;56;1;Rests_02
169;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;316;57;1;Rests_02
170;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;235;57;1;Rests_02
171;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;209;57;1;Rests_02
172;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;17;58;1;Rests_02
175;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;206;58;1;Rests_02
176;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;271;59;1;Rests_02
177;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;309;60;1;Rests_02
178;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;234;59;1;Rests_02
179;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;256;60;1;Rests_02
180;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;268;60;1;Rests_02
182;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;217;61;1;Rests_02
184;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;268;61;1;Rests_02
185;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;315;63;1;Rests_02
186;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;201;62;1;Rests_02
187;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;235;62;1;Rests_02
188;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;292;63;1;Rests_02
191;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;222;65;1;Rests_02
192;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;142;64;1;Rests_02
193;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;226;64;1;Rests_02
194;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;210;65;1;Rests_02
195;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;296;65;1;Rests_02
196;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;254;66;1;Rests_02
197;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;208;66;1;Rests_02
199;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;182;66;1;Rests_02
201;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;280;68;1;Rests_02
202;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;245;67;1;Rests_02
203;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;244;68;1;Rests_02
204;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;106;68;1;Rests_02
206;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;67;69;1;Rests_02
208;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;291;70;1;Rests_02
209;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;286;70;1;Rests_02
211;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;192;70;1;Rests_02
212;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;285;71;1;Rests_02
213;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;353;72;1;Rests_02
214;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;228;71;1;Rests_02
215;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;303;72;1;Rests_02
218;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;167;72;1;Rests_02
219;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;266;73;1;Rests_02
220;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;371;74;1;Rests_02
221;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;369;74;1;Rests_02
222;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;359;75;1;Rests_02
223;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;227;75;1;Rests_02
224;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;262;74;1;Rests_02
225;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;224;75;1;Rests_02
227;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;121;76;1;Rests_02
228;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;220;76;1;Rests_02
232;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;247;78;1;Rests_02
233;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;267;77;1;Rests_02
234;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;248;79;1;Rests_02
235;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;254;78;1;Rests_02
236;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;311;79;1;Rests_02
